change_value,num_coins,runtime,coins,denominations
2215,75,0.009525060653686523,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 73]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2258,39,0.0049591064453125,"[0, 1, 0, 0, 0, 2, 36]","[1, 2, 6, 12, 24, 48, 60]"
2258,18,0.004261016845703125,"[2, 1, 0, 0, 15]","[1, 6, 13, 37, 150]"
2258,76,0.009740829467773438,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2301,42,0.005303144454956055,"[1, 1, 1, 1, 0, 0, 38]","[1, 2, 6, 12, 24, 48, 60]"
2301,18,0.004126071929931641,"[1, 0, 1, 1, 15]","[1, 6, 13, 37, 150]"
2301,78,0.009917020797729492,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 76]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2344,41,0.005424976348876953,"[0, 2, 0, 0, 0, 0, 39]","[1, 2, 6, 12, 24, 48, 60]"
2344,20,0.004225015640258789,"[1, 1, 1, 2, 15]","[1, 6, 13, 37, 150]"
2344,79,0.00998997688293457,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2387,44,0.005632162094116211,"[1, 2, 1, 0, 0, 2, 38]","[1, 2, 6, 12, 24, 48, 60]"
2387,20,0.004263877868652344,"[0, 0, 2, 3, 15]","[1, 6, 13, 37, 150]"
2387,81,0.012738943099975586,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 79]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2430,42,0.0067729949951171875,"[0, 0, 1, 0, 1, 0, 40]","[1, 2, 6, 12, 24, 48, 60]"
2430,21,0.004526853561401367,"[0, 5, 0, 0, 16]","[1, 6, 13, 37, 150]"
2430,81,0.010351181030273438,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2473,43,0.00564885139465332,"[1, 0, 0, 1, 0, 0, 41]","[1, 2, 6, 12, 24, 48, 60]"
2473,22,0.004443168640136719,"[1, 0, 0, 6, 15]","[1, 6, 13, 37, 150]"
2473,84,0.010634899139404297,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 82]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2516,44,0.005764961242675781,"[0, 1, 1, 0, 0, 1, 41]","[1, 2, 6, 12, 24, 48, 60]"
2516,24,0.004441976547241211,"[5, 0, 0, 3, 16]","[1, 6, 13, 37, 150]"
2516,84,0.01077413558959961,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 83]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2559,45,0.005675077438354492,"[1, 1, 0, 0, 0, 2, 41]","[1, 2, 6, 12, 24, 48, 60]"
2559,21,0.004508018493652344,"[3, 1, 0, 0, 17]","[1, 6, 13, 37, 150]"
2559,87,0.011096954345703125,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2602,47,0.005833148956298828,"[0, 2, 1, 1, 0, 0, 43]","[1, 2, 6, 12, 24, 48, 60]"
2602,21,0.004892826080322266,"[2, 0, 1, 1, 17]","[1, 6, 13, 37, 150]"
2602,87,0.011332988739013672,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 86]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2645,47,0.006036996841430664,"[1, 2, 0, 0, 0, 0, 44]","[1, 2, 6, 12, 24, 48, 60]"
2645,23,0.004691123962402344,"[2, 1, 1, 2, 17]","[1, 6, 13, 37, 150]"
2645,90,0.011538982391357422,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2688,45,0.005922079086303711,"[0, 0, 0, 0, 0, 1, 44]","[1, 2, 6, 12, 24, 48, 60]"
2688,23,0.004705905914306641,"[1, 0, 2, 3, 17]","[1, 6, 13, 37, 150]"
2688,90,0.011621952056884766,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 89]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
